"Symbol: ZQU23",,,,,,"Study: VOL (LikeMain)",
"Date Time","Open","High","Low","Close","Change","Volume","Open Interest"
2020-09-18,99.95,99.95,99.95,99.95,0,,
2020-09-21,99.985,99.985,99.985,99.985,0.03499999999999659,,
2020-09-22,99.995,99.995,99.995,99.995,0.010000000000005116,,
2020-09-23,99.985,99.985,99.985,99.985,-0.010000000000005116,,
2020-09-24,99.985,99.985,99.985,99.985,0,,
2020-09-25,99.985,99.985,99.985,99.985,0,,
2020-09-28,99.98,99.98,99.98,99.98,-0.0049999999999954525,,
2020-09-29,99.98,99.98,99.98,99.98,0,,
2020-09-30,99.98,99.98,99.98,99.98,0,,
2020-10-01,99.98,99.98,99.98,99.98,0,,
2020-10-02,99.98,99.98,99.98,99.98,0,,
2020-10-05,99.96,99.96,99.96,99.96,-0.020000000000010232,,
2020-10-06,99.96,99.96,99.96,99.96,0,,
2020-10-07,99.95,99.95,99.95,99.95,-0.009999999999990905,,
2020-10-08,99.945,99.945,99.945,99.945,-0.005000000000009663,,
2020-10-09,99.945,99.945,99.945,99.945,0,,
2020-10-12,99.94,99.94,99.94,99.94,-0.0049999999999954525,,
2020-10-13,99.95,99.95,99.95,99.95,0.010000000000005116,,
2020-10-14,99.95,99.95,99.95,99.95,0,,
2020-10-15,99.95,99.95,99.95,99.95,0,,
2020-10-16,99.945,99.945,99.945,99.945,-0.005000000000009663,,
2020-10-19,99.945,99.945,99.945,99.945,0,,
2020-10-20,99.94,99.94,99.94,99.94,-0.0049999999999954525,,
2020-10-21,99.935,99.935,99.935,99.935,-0.0049999999999954525,,
2020-10-22,99.93,99.93,99.93,99.93,-0.0049999999999954525,,
2020-10-23,99.935,99.935,99.935,99.935,0.0049999999999954525,,
2020-10-26,99.945,99.945,99.945,99.945,0.009999999999990905,,
2020-10-27,99.945,99.945,99.945,99.945,0,,
2020-10-28,99.945,99.945,99.945,99.945,0,,
2020-10-29,99.94,99.94,99.94,99.94,-0.0049999999999954525,,
2020-10-30,99.935,99.935,99.935,99.935,-0.0049999999999954525,,
2020-11-02,99.92,99.92,99.92,99.92,-0.015000000000000568,,
2020-11-03,99.915,99.915,99.915,99.915,-0.0049999999999954525,,
2020-11-04,99.94,99.94,99.94,99.94,0.024999999999991473,,
